TransactionID,DateKey,AccountID,DepartmentID,CostCenterID,Amount,TransactionType,Description
63,20230115,6011,8,CC-100,3940.2,Expense,Office Supplies - Research & Development
64,20230106,6012,2,CC-200,4389.55,Expense,Training & Development - Marketing
65,20230107,6012,1,CC-400,3609.62,Expense,Training & Development - Sales
66,20230106,6012,9,CC-100,4296.98,Expense,Training & Development - Sales - APAC
67,20230109,6012,8,CC-400,3568.46,Expense,Training & Development - Research & Development
68,20230107,7001,5,CC-300,18674.91,Expense,Income Tax - Human Resources
69,20230124,7001,7,CC-500,25728.81,Expense,Income Tax - Customer Support
70,20230102,7001,8,CC-300,22032.36,Expense,Income Tax - Research & Development
71,20230217,4001,1,CC-400,85639.23,Revenue,Product Sales - Sales
72,20230206,4001,2,CC-500,111455.8,Revenue,Product Sales - Marketing
73,20230203,4001,9,CC-500,85839.32,Revenue,Product Sales - Sales - APAC
74,20230220,4001,10,CC-100,109434.87,Revenue,Product Sales - Sales - EMEA
75,20230213,4002,1,CC-200,53615.92,Revenue,Service Revenue - Sales
76,20230208,4002,2,CC-500,54575.5,Revenue,Service Revenue - Marketing
77,20230220,4002,9,CC-100,63058.42,Revenue,Service Revenue - Sales - APAC
78,20230219,4002,10,CC-500,53875.05,Revenue,Service Revenue - Sales - EMEA
79,20230207,4003,1,CC-300,39870.66,Revenue,Subscription Revenue - Sales
80,20230208,4003,2,CC-300,41616.34,Revenue,Subscription Revenue - Marketing
81,20230222,4003,9,CC-200,36815.5,Revenue,Subscription Revenue - Sales - APAC
82,20230211,4003,10,CC-400,41328.55,Revenue,Subscription Revenue - Sales - EMEA
83,20230201,4004,1,CC-100,29797.83,Revenue,Consulting Revenue - Sales
84,20230204,4004,2,CC-500,26069.62,Revenue,Consulting Revenue - Marketing
85,20230217,4004,9,CC-200,23020.22,Revenue,Consulting Revenue - Sales - APAC
86,20230203,4004,10,CC-300,24540.39,Revenue,Consulting Revenue - Sales - EMEA
87,20230210,4005,1,CC-300,23278.02,Revenue,License Revenue - Sales
88,20230223,4005,2,CC-500,18754.07,Revenue,License Revenue - Marketing
89,20230201,4005,9,CC-500,19661.78,Revenue,License Revenue - Sales - APAC
90,20230210,4005,10,CC-500,21952.5,Revenue,License Revenue - Sales - EMEA
91,20230205,4010,1,CC-100,3727.44,Revenue,Interest Income - Sales
92,20230224,4010,2,CC-100,3066.82,Revenue,Interest Income - Marketing
93,20230210,4010,9,CC-300,3352.69,Revenue,Interest Income - Sales - APAC
94,20230207,4010,10,CC-300,3403.78,Revenue,Interest Income - Sales - EMEA
95,20230203,5001,5,CC-100,52296.06,Expense,Cost of Goods Sold - Human Resources
96,20230202,5001,9,CC-300,47417.12,Expense,Cost of Goods Sold - Sales - APAC
97,20230221,5001,8,CC-200,36063.82,Expense,Cost of Goods Sold - Research & Development
98,20230224,5001,3,CC-200,53636.36,Expense,Cost of Goods Sold - Engineering
99,20230218,5002,9,CC-200,26750.4,Expense,Direct Labor - Sales - APAC
100,20230219,5002,7,CC-300,25789.69,Expense,Direct Labor - Customer Support
101,20230205,5002,1,CC-400,32331.98,Expense,Direct Labor - Sales
102,20230212,5003,5,CC-100,26090.83,Expense,Manufacturing Overhead - Human Resources
103,20230222,5003,6,CC-200,19890.69,Expense,Manufacturing Overhead - Operations
104,20230220,6001,6,CC-400,184584.62,Expense,Salaries & Wages - Operations
105,20230228,6001,9,CC-200,175966.57,Expense,Salaries & Wages - Sales - APAC
106,20230226,6002,3,CC-300,34421.37,Expense,Employee Benefits - Engineering
107,20230209,6002,7,CC-200,49823.87,Expense,Employee Benefits - Customer Support
108,20230208,6003,2,CC-400,31593.83,Expense,Rent & Facilities - Marketing
109,20230212,6003,7,CC-400,24195.3,Expense,Rent & Facilities - Customer Support
110,20230211,6004,4,CC-400,4256.05,Expense,Utilities - Finance
111,20230225,6004,10,CC-100,3645.76,Expense,Utilities - Sales - EMEA
112,20230213,6004,1,CC-500,3646.6,Expense,Utilities - Sales
113,20230206,6005,9,CC-300,21577.79,Expense,Marketing & Advertising - Sales - APAC
114,20230202,6005,6,CC-300,19354.42,Expense,Marketing & Advertising - Operations
115,20230212,6005,1,CC-400,15813.02,Expense,Marketing & Advertising - Sales
116,20230214,6005,8,CC-300,20464.09,Expense,Marketing & Advertising - Research & Development
117,20230223,6006,9,CC-100,5475.2,Expense,Travel & Entertainment - Sales - APAC
118,20230226,6006,2,CC-500,6090.14,Expense,Travel & Entertainment - Marketing
119,20230212,6006,7,CC-200,6346.13,Expense,Travel & Entertainment - Customer Support
120,20230220,6006,5,CC-300,6078.24,Expense,Travel & Entertainment - Human Resources
121,20230213,6007,2,CC-300,12445.5,Expense,Professional Services - Marketing
122,20230205,6007,5,CC-500,12586.97,Expense,Professional Services - Human Resources
123,20230222,6007,9,CC-400,10228.59,Expense,Professional Services - Sales - APAC
124,20230210,6008,3,CC-300,12751.76,Expense,Software & Technology - Engineering
125,20230220,6008,5,CC-500,9945.82,Expense,Software & Technology - Human Resources
126,20230215,6008,7,CC-400,11946.18,Expense,Software & Technology - Customer Support
127,20230217,6008,9,CC-200,10989.72,Expense,Software & Technology - Sales - APAC
128,20230211,6009,3,CC-500,7378.66,Expense,Depreciation - Engineering
129,20230222,6009,2,CC-200,6140.6,Expense,Depreciation - Marketing
130,20230205,6009,5,CC-200,6777.23,Expense,Depreciation - Human Resources
131,20230228,6010,1,CC-500,10742.17,Expense,Insurance - Sales
132,20230214,6010,4,CC-400,9966.56,Expense,Insurance - Finance
133,20230221,6011,10,CC-200,1919.72,Expense,Office Supplies - Sales - EMEA
134,20230225,6011,4,CC-100,2150.1,Expense,Office Supplies - Finance
135,20230226,6011,7,CC-200,1940.12,Expense,Office Supplies - Customer Support
136,20230215,6011,9,CC-500,2366.37,Expense,Office Supplies - Sales - APAC
137,20230215,6012,9,CC-100,8752.41,Expense,Training & Development - Sales - APAC
138,20230222,6012,4,CC-400,6400.02,Expense,Training & Development - Finance
139,20230214,7001,9,CC-500,18297.54,Expense,Income Tax - Sales - APAC
140,20230215,7001,6,CC-500,18398.7,Expense,Income Tax - Operations
141,20230215,7001,8,CC-400,18831.85,Expense,Income Tax - Research & Development
142,20230227,7001,5,CC-200,14684.75,Expense,Income Tax - Human Resources
143,20230316,4001,1,CC-500,111288.77,Revenue,Product Sales - Sales
144,20230315,4001,2,CC-300,110938.87,Revenue,Product Sales - Marketing
145,20230308,4001,9,CC-300,93328.06,Revenue,Product Sales - Sales - APAC
146,20230318,4001,10,CC-300,99555.62,Revenue,Product Sales - Sales - EMEA
147,20230308,4002,1,CC-200,58132.52,Revenue,Service Revenue - Sales
148,20230323,4002,2,CC-200,64166.55,Revenue,Service Revenue - Marketing
149,20230314,4002,9,CC-400,60793.36,Revenue,Service Revenue - Sales - APAC
150,20230314,4002,10,CC-400,63126.08,Revenue,Service Revenue - Sales - EMEA
151,20230313,4003,1,CC-400,37136.06,Revenue,Subscription Revenue - Sales
152,20230323,4003,2,CC-500,47942.05,Revenue,Subscription Revenue - Marketing
153,20230313,4003,9,CC-500,36588.0,Revenue,Subscription Revenue - Sales - APAC
154,20230310,4003,10,CC-300,42454.77,Revenue,Subscription Revenue - Sales - EMEA
155,20230318,4004,1,CC-400,30667.21,Revenue,Consulting Revenue - Sales
156,20230326,4004,2,CC-500,30616.26,Revenue,Consulting Revenue - Marketing
157,20230316,4004,9,CC-200,29382.81,Revenue,Consulting Revenue - Sales - APAC
158,20230316,4004,10,CC-400,26101.05,Revenue,Consulting Revenue - Sales - EMEA
159,20230322,4005,1,CC-300,19374.59,Revenue,License Revenue - Sales
160,20230324,4005,2,CC-400,23775.07,Revenue,License Revenue - Marketing
161,20230305,4005,9,CC-400,20295.27,Revenue,License Revenue - Sales - APAC
162,20230301,4005,10,CC-500,25816.39,Revenue,License Revenue - Sales - EMEA
163,20230319,4010,1,CC-500,3997.41,Revenue,Interest Income - Sales
164,20230321,4010,2,CC-100,3736.71,Revenue,Interest Income - Marketing
165,20230306,4010,9,CC-400,3486.2,Revenue,Interest Income - Sales - APAC
166,20230311,4010,10,CC-400,3081.87,Revenue,Interest Income - Sales - EMEA
167,20230309,5001,8,CC-400,84150.02,Expense,Cost of Goods Sold - Research & Development
168,20230309,5001,6,CC-400,99072.35,Expense,Cost of Goods Sold - Operations
169,20230312,5002,8,CC-100,52231.46,Expense,Direct Labor - Research & Development
170,20230325,5002,1,CC-100,42260.22,Expense,Direct Labor - Sales
171,20230305,5003,1,CC-500,12776.53,Expense,Manufacturing Overhead - Sales
172,20230322,5003,10,CC-400,10073.45,Expense,Manufacturing Overhead - Sales - EMEA
173,20230315,5003,4,CC-200,9514.75,Expense,Manufacturing Overhead - Finance
174,20230306,5003,2,CC-300,12147.59,Expense,Manufacturing Overhead - Marketing
175,20230310,6001,10,CC-100,67459.16,Expense,Salaries & Wages - Sales - EMEA
176,20230313,6001,2,CC-400,82425.5,Expense,Salaries & Wages - Marketing
177,20230303,6001,3,CC-200,94127.06,Expense,Salaries & Wages - Engineering
178,20230304,6001,8,CC-200,82947.13,Expense,Salaries & Wages - Research & Development
179,20230303,6002,5,CC-300,21528.33,Expense,Employee Benefits - Human Resources
180,20230301,6002,2,CC-300,21300.67,Expense,Employee Benefits - Marketing
181,20230304,6002,1,CC-400,24221.39,Expense,Employee Benefits - Sales
182,20230321,6002,3,CC-300,20684.95,Expense,Employee Benefits - Engineering
183,20230320,6003,3,CC-300,20047.83,Expense,Rent & Facilities - Engineering
184,20230325,6003,7,CC-500,20593.46,Expense,Rent & Facilities - Customer Support
185,20230327,6003,10,CC-400,18212.32,Expense,Rent & Facilities - Sales - EMEA
186,20230309,6004,10,CC-100,2694.59,Expense,Utilities - Sales - EMEA
187,20230325,6004,5,CC-200,3457.96,Expense,Utilities - Human Resources
188,20230322,6004,6,CC-500,2957.65,Expense,Utilities - Operations
189,20230316,6004,7,CC-100,2854.79,Expense,Utilities - Customer Support
190,20230311,6005,3,CC-300,23548.25,Expense,Marketing & Advertising - Engineering
191,20230323,6005,8,CC-500,22796.58,Expense,Marketing & Advertising - Research & Development
192,20230301,6005,4,CC-500,28801.07,Expense,Marketing & Advertising - Finance
193,20230325,6006,4,CC-500,6016.07,Expense,Travel & Entertainment - Finance
194,20230321,6006,2,CC-400,5600.81,Expense,Travel & Entertainment - Marketing
195,20230326,6006,10,CC-400,6779.61,Expense,Travel & Entertainment - Sales - EMEA
196,20230308,6006,6,CC-300,5043.11,Expense,Travel & Entertainment - Operations
197,20230312,6007,4,CC-500,11541.88,Expense,Professional Services - Finance
198,20230311,6007,5,CC-500,11319.02,Expense,Professional Services - Human Resources
199,20230309,6007,6,CC-400,10975.12,Expense,Professional Services - Operations
200,20230304,6008,5,CC-300,16327.71,Expense,Software & Technology - Human Resources
201,20230307,6008,4,CC-200,16457.29,Expense,Software & Technology - Finance
202,20230309,6008,2,CC-400,13298.31,Expense,Software & Technology - Marketing
203,20230308,6009,10,CC-300,6231.78,Expense,Depreciation - Sales - EMEA
204,20230301,6009,9,CC-300,5193.94,Expense,Depreciation - Sales - APAC
205,20230309,6009,5,CC-200,5957.64,Expense,Depreciation - Human Resources
206,20230318,6009,1,CC-100,4500.13,Expense,Depreciation - Sales
207,20230310,6010,3,CC-500,6894.53,Expense,Insurance - Engineering
208,20230311,6010,8,CC-400,5926.55,Expense,Insurance - Research & Development
209,20230309,6010,2,CC-100,5242.47,Expense,Insurance - Marketing
210,20230321,6011,2,CC-500,2657.86,Expense,Office Supplies - Marketing
211,20230305,6011,10,CC-200,2865.55,Expense,Office Supplies - Sales - EMEA
212,20230303,6011,7,CC-300,2998.55,Expense,Office Supplies - Customer Support
213,20230320,6012,2,CC-500,8293.33,Expense,Training & Development - Marketing
214,20230325,6012,9,CC-200,8372.22,Expense,Training & Development - Sales - APAC
215,20230310,7001,7,CC-400,18591.08,Expense,Income Tax - Customer Support
216,20230320,7001,8,CC-100,16696.09,Expense,Income Tax - Research & Development
217,20230325,7001,9,CC-100,19240.71,Expense,Income Tax - Sales - APAC
218,20230309,7001,3,CC-200,14350.62,Expense,Income Tax - Engineering
219,20230408,4001,1,CC-200,117914.45,Revenue,Product Sales - Sales
220,20230406,4001,2,CC-100,101491.21,Revenue,Product Sales - Marketing
221,20230423,4001,9,CC-400,95715.31,Revenue,Product Sales - Sales - APAC
222,20230402,4001,10,CC-300,115666.13,Revenue,Product Sales - Sales - EMEA
223,20230423,4002,1,CC-300,64361.0,Revenue,Service Revenue - Sales
224,20230422,4002,2,CC-100,77551.74,Revenue,Service Revenue - Marketing
225,20230426,4002,9,CC-300,64401.9,Revenue,Service Revenue - Sales - APAC
226,20230422,4002,10,CC-500,76116.2,Revenue,Service Revenue - Sales - EMEA
227,20230414,4003,1,CC-200,49102.73,Revenue,Subscription Revenue - Sales
228,20230421,4003,2,CC-200,39799.48,Revenue,Subscription Revenue - Marketing
229,20230427,4003,9,CC-300,40261.36,Revenue,Subscription Revenue - Sales - APAC
230,20230406,4003,10,CC-100,40170.19,Revenue,Subscription Revenue - Sales - EMEA
231,20230424,4004,1,CC-500,32633.66,Revenue,Consulting Revenue - Sales
232,20230415,4004,2,CC-300,32918.16,Revenue,Consulting Revenue - Marketing
233,20230423,4004,9,CC-300,26619.18,Revenue,Consulting Revenue - Sales - APAC
234,20230417,4004,10,CC-300,29122.58,Revenue,Consulting Revenue - Sales - EMEA
235,20230403,4005,1,CC-400,24034.87,Revenue,License Revenue - Sales
236,20230424,4005,2,CC-400,24448.51,Revenue,License Revenue - Marketing
237,20230401,4005,9,CC-300,22484.04,Revenue,License Revenue - Sales - APAC
238,20230419,4005,10,CC-500,20838.2,Revenue,License Revenue - Sales - EMEA
239,20230419,4010,1,CC-300,4257.13,Revenue,Interest Income - Sales
240,20230416,4010,2,CC-200,3232.76,Revenue,Interest Income - Marketing
241,20230409,4010,9,CC-400,3771.33,Revenue,Interest Income - Sales - APAC
242,20230414,4010,10,CC-500,3391.68,Revenue,Interest Income - Sales - EMEA
243,20230422,5001,8,CC-300,43350.27,Expense,Cost of Goods Sold - Research & Development
244,20230411,5001,2,CC-200,37882.8,Expense,Cost of Goods Sold - Marketing
245,20230410,5001,10,CC-400,43409.61,Expense,Cost of Goods Sold - Sales - EMEA
246,20230427,5001,3,CC-400,47926.5,Expense,Cost of Goods Sold - Engineering
247,20230425,5002,1,CC-100,21397.79,Expense,Direct Labor - Sales
248,20230427,5002,8,CC-500,22839.66,Expense,Direct Labor - Research & Development
249,20230415,5002,2,CC-500,28387.13,Expense,Direct Labor - Marketing
250,20230417,5002,3,CC-200,22925.85,Expense,Direct Labor - Engineering
251,20230409,5003,10,CC-200,16559.94,Expense,Manufacturing Overhead - Sales - EMEA
252,20230415,5003,8,CC-300,15295.32,Expense,Manufacturing Overhead - Research & Development
253,20230404,5003,9,CC-400,17285.08,Expense,Manufacturing Overhead - Sales - APAC
254,20230418,6001,10,CC-300,173426.1,Expense,Salaries & Wages - Sales - EMEA
255,20230403,6001,4,CC-400,128875.17,Expense,Salaries & Wages - Finance
256,20230416,6002,2,CC-200,50100.03,Expense,Employee Benefits - Marketing
257,20230417,6002,8,CC-300,49855.1,Expense,Employee Benefits - Research & Development
258,20230405,6003,5,CC-500,12340.52,Expense,Rent & Facilities - Human Resources
259,20230417,6003,7,CC-500,13109.72,Expense,Rent & Facilities - Customer Support
260,20230428,6003,8,CC-200,15104.61,Expense,Rent & Facilities - Research & Development
261,20230411,6003,4,CC-400,11383.96,Expense,Rent & Facilities - Finance
262,20230419,6004,5,CC-500,2758.27,Expense,Utilities - Human Resources
263,20230428,6004,1,CC-400,3598.68,Expense,Utilities - Sales
264,20230416,6004,10,CC-500,2578.31,Expense,Utilities - Sales - EMEA
265,20230425,6004,6,CC-500,2814.15,Expense,Utilities - Operations
266,20230419,6005,7,CC-200,16414.89,Expense,Marketing & Advertising - Customer Support
267,20230402,6005,8,CC-400,17872.28,Expense,Marketing & Advertising - Research & Development
268,20230423,6005,6,CC-400,17386.32,Expense,Marketing & Advertising - Operations
269,20230413,6005,10,CC-400,21850.73,Expense,Marketing & Advertising - Sales - EMEA
270,20230411,6006,3,CC-500,6255.73,Expense,Travel & Entertainment - Engineering
271,20230404,6006,8,CC-400,7174.25,Expense,Travel & Entertainment - Research & Development
272,20230401,6006,1,CC-400,6314.88,Expense,Travel & Entertainment - Sales
273,20230428,6006,2,CC-400,6806.11,Expense,Travel & Entertainment - Marketing
274,20230420,6007,3,CC-300,10392.21,Expense,Professional Services - Engineering
275,20230428,6007,2,CC-100,9424.47,Expense,Professional Services - Marketing
276,20230413,6007,8,CC-500,8149.98,Expense,Professional Services - Research & Development
277,20230428,6007,7,CC-400,10339.49,Expense,Professional Services - Customer Support
278,20230408,6008,1,CC-300,12079.8,Expense,Software & Technology - Sales
279,20230404,6008,2,CC-400,12360.45,Expense,Software & Technology - Marketing
280,20230415,6008,4,CC-100,12421.66,Expense,Software & Technology - Finance
281,20230401,6008,6,CC-300,9748.64,Expense,Software & Technology - Operations
282,20230414,6009,6,CC-300,10090.82,Expense,Depreciation - Operations
283,20230414,6009,1,CC-500,9440.51,Expense,Depreciation - Sales
284,20230420,6010,3,CC-400,4697.09,Expense,Insurance - Engineering
285,20230419,6010,10,CC-400,4829.64,Expense,Insurance - Sales - EMEA
286,20230421,6010,9,CC-400,3857.61,Expense,Insurance - Sales - APAC
287,20230422,6010,1,CC-300,4057.16,Expense,Insurance - Sales
288,20230403,6011,8,CC-200,4284.18,Expense,Office Supplies - Research & Development
289,20230419,6011,5,CC-300,3906.77,Expense,Office Supplies - Human Resources
290,20230413,6012,7,CC-200,5690.61,Expense,Training & Development - Customer Support
291,20230408,6012,5,CC-100,5706.67,Expense,Training & Development - Human Resources
292,20230419,6012,8,CC-300,4762.73,Expense,Training & Development - Research & Development
293,20230428,7001,5,CC-500,19712.16,Expense,Income Tax - Human Resources
294,20230420,7001,1,CC-100,23276.93,Expense,Income Tax - Sales
295,20230425,7001,7,CC-300,23791.49,Expense,Income Tax - Customer Support
296,20230526,4001,1,CC-500,125038.26,Revenue,Product Sales - Sales
297,20230520,4001,2,CC-200,109666.15,Revenue,Product Sales - Marketing
298,20230521,4001,9,CC-200,106165.33,Revenue,Product Sales - Sales - APAC
299,20230510,4001,10,CC-100,100882.37,Revenue,Product Sales - Sales - EMEA
300,20230519,4002,1,CC-100,77582.04,Revenue,Service Revenue - Sales
301,20230503,4002,2,CC-200,68505.33,Revenue,Service Revenue - Marketing
302,20230524,4002,9,CC-300,80174.23,Revenue,Service Revenue - Sales - APAC
303,20230505,4002,10,CC-200,69590.08,Revenue,Service Revenue - Sales - EMEA
304,20230517,4003,1,CC-300,49845.28,Revenue,Subscription Revenue - Sales
305,20230527,4003,2,CC-300,45924.71,Revenue,Subscription Revenue - Marketing
306,20230526,4003,9,CC-400,41280.78,Revenue,Subscription Revenue - Sales - APAC
307,20230526,4003,10,CC-300,43079.1,Revenue,Subscription Revenue - Sales - EMEA
308,20230505,4004,1,CC-100,27067.26,Revenue,Consulting Revenue - Sales
309,20230528,4004,2,CC-200,32933.11,Revenue,Consulting Revenue - Marketing
310,20230528,4004,9,CC-400,32218.65,Revenue,Consulting Revenue - Sales - APAC
311,20230503,4004,10,CC-300,33396.11,Revenue,Consulting Revenue - Sales - EMEA
312,20230509,4005,1,CC-100,26337.53,Revenue,License Revenue - Sales
313,20230512,4005,2,CC-400,24490.79,Revenue,License Revenue - Marketing
314,20230519,4005,9,CC-300,25481.03,Revenue,License Revenue - Sales - APAC
315,20230504,4005,10,CC-300,23360.35,Revenue,License Revenue - Sales - EMEA
316,20230501,4010,1,CC-400,4025.62,Revenue,Interest Income - Sales
317,20230511,4010,2,CC-500,3962.18,Revenue,Interest Income - Marketing
318,20230521,4010,9,CC-200,4301.51,Revenue,Interest Income - Sales - APAC
319,20230523,4010,10,CC-400,3323.79,Revenue,Interest Income - Sales - EMEA
320,20230510,5001,7,CC-100,49088.32,Expense,Cost of Goods Sold - Customer Support
321,20230504,5001,2,CC-100,71902.26,Expense,Cost of Goods Sold - Marketing
322,20230505,5001,3,CC-500,53635.2,Expense,Cost of Goods Sold - Engineering
323,20230514,5002,8,CC-200,32772.98,Expense,Direct Labor - Research & Development
324,20230520,5002,6,CC-400,33629.01,Expense,Direct Labor - Operations
325,20230502,5002,7,CC-300,30502.8,Expense,Direct Labor - Customer Support
326,20230504,5003,6,CC-300,13277.5,Expense,Manufacturing Overhead - Operations
327,20230518,5003,4,CC-300,13414.17,Expense,Manufacturing Overhead - Finance
328,20230502,5003,8,CC-300,13057.63,Expense,Manufacturing Overhead - Research & Development
329,20230504,5003,9,CC-200,10791.63,Expense,Manufacturing Overhead - Sales - APAC
330,20230508,6001,2,CC-300,87491.35,Expense,Salaries & Wages - Marketing
331,20230507,6001,4,CC-500,127523.03,Expense,Salaries & Wages - Finance
332,20230507,6001,1,CC-500,88260.7,Expense,Salaries & Wages - Sales
333,20230501,6002,4,CC-500,18254.21,Expense,Employee Benefits - Finance
334,20230505,6002,10,CC-200,19356.84,Expense,Employee Benefits - Sales - EMEA
335,20230504,6002,6,CC-200,21591.83,Expense,Employee Benefits - Operations
336,20230505,6002,7,CC-100,22618.99,Expense,Employee Benefits - Customer Support
337,20230506,6003,6,CC-100,28477.38,Expense,Rent & Facilities - Operations
338,20230524,6003,4,CC-200,24919.04,Expense,Rent & Facilities - Finance
339,20230517,6004,9,CC-300,3961.99,Expense,Utilities - Sales - APAC
340,20230517,6004,2,CC-400,4149.87,Expense,Utilities - Marketing
341,20230502,6004,10,CC-500,3554.48,Expense,Utilities - Sales - EMEA
342,20230516,6005,9,CC-100,22230.2,Expense,Marketing & Advertising - Sales - APAC
343,20230522,6005,5,CC-400,21354.74,Expense,Marketing & Advertising - Human Resources
344,20230503,6005,8,CC-400,15809.71,Expense,Marketing & Advertising - Research & Development
345,20230520,6005,6,CC-300,21744.5,Expense,Marketing & Advertising - Operations
346,20230518,6006,2,CC-500,11375.08,Expense,Travel & Entertainment - Marketing
347,20230520,6006,3,CC-400,13560.76,Expense,Travel & Entertainment - Engineering
348,20230528,6007,5,CC-100,9775.84,Expense,Professional Services - Human Resources
349,20230524,6007,8,CC-500,9291.5,Expense,Professional Services - Research & Development
350,20230515,6007,7,CC-400,10029.22,Expense,Professional Services - Customer Support
351,20230511,6007,1,CC-400,10108.32,Expense,Professional Services - Sales
352,20230522,6008,7,CC-300,13875.29,Expense,Software & Technology - Customer Support
353,20230522,6008,10,CC-200,13529.34,Expense,Software & Technology - Sales - EMEA
354,20230503,6008,2,CC-100,17537.91,Expense,Software & Technology - Marketing
355,20230526,6009,2,CC-300,9224.88,Expense,Depreciation - Marketing
356,20230519,6009,7,CC-100,9372.51,Expense,Depreciation - Customer Support
357,20230528,6010,9,CC-400,4236.48,Expense,Insurance - Sales - APAC
